src,dst,short_src,short_dst,graph_action,barrier_U_rel,path_n_nodes,path_frac_src,path_frac_dst,path_frac_other,top_other,top_other_frac,src_peak_day,dst_peak_day,transfer_proxy,composition,reverse_action,action_ratio,mixing,call,reason,is_shown,mixing_ok,support_score,short_pair
Resolution macrophages,Fn1+ macrophages,Mfge8+ Resol.,Fn1+,1.968337394048862,1.6086662460384904,18,0.4444444444444444,0.05555555555555555,0.5,M2 macrophages,0.3333333333333333,7.0,14.0,0.0,none,2.039949147924598,1.036381849011868,0.039298808432630616,fn1_satellite,"Fn1+ is a small local well adjacent to Resolution / AM(Bleo), not a fourth drawn branch",False,True,-0.5710216626192097,Mfge8+ Resol.→Fn1+
Fn1+ macrophages,Resolution macrophages,Fn1+,Mfge8+ Resol.,2.039949147924598,2.3445713489022184,18,0.1111111111111111,0.3333333333333333,0.5555555555555556,M2 macrophages,0.3333333333333333,14.0,7.0,0.001111754943190857,none,1.968337394048862,0.9648953240086611,0.039298808432630616,fn1_satellite,"Fn1+ is a small local well adjacent to Resolution / AM(Bleo), not a fourth drawn branch",False,True,-0.5959190132342388,Fn1+→Mfge8+ Resol.
Fn1+ macrophages,M2 macrophages,Fn1+,Arg1+ M2,3.174778353085301,2.5064533109002243,33,0.09090909090909091,0.30303030303030304,0.606060606060606,Resolution macrophages,0.42424242424242425,14.0,10.0,0.011926687226918854,none,3.1813713900164444,1.0020766920385904,0.02681652607361963,fn1_satellite,"Fn1+ is a small local well adjacent to Resolution / AM(Bleo), not a fourth drawn branch",False,True,-1.0289338422749585,Fn1+→Arg1+ M2
M2 macrophages,Fn1+ macrophages,Arg1+ M2,Fn1+,3.1813713900164444,2.362447007250054,32,0.28125,0.09375,0.625,Resolution macrophages,0.5,10.0,14.0,0.008600016627308998,none,3.174778353085301,0.9979276116731195,0.02681652607361963,fn1_satellite,"Fn1+ is a small local well adjacent to Resolution / AM(Bleo), not a fourth drawn branch",False,True,-1.0317404057908002,Arg1+ M2→Fn1+
AM (Bleo),Fn1+ macrophages,AM(Bleo),Fn1+,4.165310283880687,1.988345229346535,28,0.2857142857142857,0.07142857142857142,0.6428571428571429,Resolution macrophages,0.35714285714285715,21.0,14.0,0.00410681261154075,none,4.381376712386841,1.0518728291002128,0.013568497028021511,fn1_satellite,"Fn1+ is a small local well adjacent to Resolution / AM(Bleo), not a fourth drawn branch",False,False,-1.4165370863824447,AM(Bleo)→Fn1+
Fn1+ macrophages,AM (Bleo),Fn1+,AM(Bleo),4.381376712386841,2.037396035852998,29,0.06896551724137931,0.3103448275862069,0.6206896551724137,Resolution macrophages,0.3448275862068966,14.0,21.0,0.0005428819637893327,none,4.165310283880687,0.9506852656845848,0.013568497028021511,fn1_satellite,"Fn1+ is a small local well adjacent to Resolution / AM(Bleo), not a fourth drawn branch",False,False,-1.4926949259567612,Fn1+→AM(Bleo)
Fn1+ macrophages,AM (PBS),Fn1+,AM(PBS),7.912055607684147,2.3461444068368276,51,0.0392156862745098,0.2549019607843137,0.7058823529411765,AM (Bleo),0.3137254901960784,14.0,0.0,0.0003211557027284244,none,7.933033356485592,1.002651365187584,0.006332408049965302,fn1_satellite,"Fn1+ is a small local well adjacent to Resolution / AM(Bleo), not a fourth drawn branch",False,False,-2.750174065184146,Fn1+→AM(PBS)
AM (PBS),Fn1+ macrophages,AM(PBS),Fn1+,7.933033356485592,3.657073687433755,40,0.3,0.05,0.6499999999999999,Resolution macrophages,0.25,0.0,14.0,0.0054046941427167835,none,7.912055607684147,0.9973556459604078,0.006332408049965302,fn1_satellite,"Fn1+ is a small local well adjacent to Resolution / AM(Bleo), not a fourth drawn branch",False,False,-2.756753746498654,AM(PBS)→Fn1+
Cd163+/Cd11c- IMs,Fn1+ macrophages,IM+,Fn1+,0.14150133622704097,0.0,2,0.5,0.5,0.0,AM (PBS),0.0,3.0,14.0,0.0023658166837172254,none,0.20167877551311475,1.4252782403983302,0.06258596973865199,im_cross,"IM coupling is a resident side-module, not an independent injury transition",False,True,0.13858731403904923,IM+→Fn1+
Fn1+ macrophages,Cd163+/Cd11c- IMs,Fn1+,IM+,0.20167877551311475,0.3543670510875081,2,0.5,0.5,0.0,AM (PBS),0.0,14.0,3.0,0.00016894710377003328,none,0.14150133622704097,0.7016173906566475,0.06258596973865199,im_cross,"IM coupling is a resident side-module, not an independent injury transition",False,True,0.11719567985193133,Fn1+→IM+
